C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:53:29

maintype = G & redshift >0 & Distance.distance <  50 & Distance.distance  >= 40 & Distance.unit = Mpc
-----------------------------------------------------------------------------------------------------

Number of objects : 692

 # ;            identifier             ;typ;   radvel   ;  redshift  ;     cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
---;-----------------------------------;---;------------;------------;------------;-----;----------------;-----------------------;--------;-------------------
1  ;2MASX J23335077+4510281            ;G  ;4809        ;0.016172    ;4848.20     ;    1;   58.34    Mpc ;  -8.66       +8.66    ;T-F     ;2020ApJ...902..145K
2  ;UGC 2550                           ;G  ;4050        ;0.013602    ;4077.73     ;    1;   51.05    Mpc ;  -6.66       +6.66    ;T-F     ;2020ApJ...902..145K
3  ;UGC 608                            ;G  ;2755        ;0.009232    ;2767.78     ;    1;   45.29    Mpc ;  -3.26       +3.26    ;T-F     ;2020ApJ...902..145K
4  ;UGC 622                            ;G  ;2717        ;0.009104    ;2729.42     ;    1;   42.07    Mpc ;  -6.82       +6.82    ;T-F     ;2020ApJ...902..145K
5  ;LEDA 90627                         ;G  ;3935        ;0.013213    ;3961.17     ;    1;   47.21    Mpc ; -12.11      +12.11    ;T-F     ;2020ApJ...902..145K
6  ;2MASX J02050790+4622331            ;G  ;5749        ;0.019364    ;5805.20     ;    1;   47.86    Mpc ; -11.20      +11.20    ;T-F     ;2020ApJ...902..145K
7  ;MCG+07-08-035                      ;G  ;4165        ;0.013991    ;4194.34     ;    1;   41.11    Mpc ;  -6.29       +6.29    ;T-F     ;2020ApJ...902..145K
8  ;MCG+09-34-001                      ;G  ;2843        ;0.0095      ;2857        ;    1;   45.08    Mpc ;  -4.46       +4.46    ;T-F     ;2020ApJ...902..145K
9  ;2MASX J04075531+4549400            ;G  ;4471        ;0.015027    ;4504.84     ;    1;   50.12    Mpc ;  -6.99       +6.99    ;T-F     ;2020ApJ...902..145K
10 ;NGC 6916                           ;G  ;3099        ;0.010391    ;3115.18     ;    1;   40.55    Mpc ;  -5.47       +5.47    ;T-F     ;2020ApJ...902..145K
11 ;2MASX J22533261+6840577            ;G  ;3446        ;0.0116      ;3466        ;    1;   47.64    Mpc ;  -3.00       +3.00    ;T-F     ;2020ApJ...902..145K
12 ;UGC 11457                          ;G  ;2457        ;0.008230    ;2467.15     ;    1;   43.25    Mpc ;  -9.54       +9.54    ;T-F     ;2020ApJ...902..145K
13 ;NGC 6801                           ;G  ;4364        ;0.014664    ;4396.23     ;    1;   44.06    Mpc ;  -5.55       +5.55    ;T-F     ;2020ApJ...902..145K
14 ;UGC 11453                          ;G  ;3850        ;0.012926    ;3875.04     ;    1;   42.66    Mpc ;  -5.57       +5.57    ;T-F     ;2020ApJ...902..145K
15 ;UGC 12135                          ;G  ;4063        ;0.013646    ;4090.91     ;    1;   48.75    Mpc ;  -4.39       +4.39    ;T-F     ;2020ApJ...902..145K
16 ;MCG+12-02-001                      ;G  ;4706        ;0.015823    ;4743.52     ;    1;   42.07    Mpc ;                       ;        ;2016AJ....152...50T
17 ;UGC 1378                           ;G  ;2933        ;0.009832    ;2947.49     ;    1;   39.45    Mpc ;  -4.44       +4.44    ;T-F     ;2020ApJ...902..145K
18 ;UGC 11357                          ;G  ;2181        ;0.007302    ;2188.99     ;    1;   47.64    Mpc ;  -8.15       +8.15    ;T-F     ;2020ApJ...902..145K
19 ;NGC 6911                           ;G  ;2485        ;0.008324    ;2495.39     ;    1;   40.36    Mpc ;  -5.63       +5.63    ;T-F     ;2020ApJ...902..145K
20 ;LEDA 166755                        ;G  ;2453        ;0.008216    ;2463.12     ;    1;   44.26    Mpc ;  -6.57       +6.57    ;T-F     ;2020ApJ...902..145K
21 ;UGC 12504                          ;G  ;2438        ;0.008166    ;2447.99     ;    1;   39.81    Mpc ;  -5.37       +5.37    ;T-F     ;2020ApJ...902..145K
22 ;UGC 12921                          ;G  ;2449        ;0.008203    ;2459.09     ;    1;   45.50    Mpc ;  -5.94       +5.94    ;T-F     ;2020ApJ...902..145K
23 ;NGC 6750                           ;G  ;3696        ;0.012405    ;3719.07     ;    1;   41.50    Mpc ;  -6.54       +6.54    ;T-F     ;2020ApJ...902..145K
24 ;UGC 12141                          ;G  ;2090        ;0.006996    ;2097.34     ;    1;   37.15    Mpc ;  -3.51       +3.51    ;T-F     ;2020ApJ...902..145K
25 ;UGC 2865                           ;G  ;4314        ;0.0145      ;4345        ;    1;   45.29    Mpc ;  -4.08       +4.08    ;T-F     ;2020ApJ...902..145K
26 ;2MASX J03363404+7205448            ;G  ;4302        ;0.014454    ;4333.31     ;    1;   45.50    Mpc ;  -3.69       +3.69    ;T-F     ;2020ApJ...902..145K
27 ;IC 334                             ;G  ;2525        ;0.008459    ;2535.94     ;    1;   40       Mpc ;                       ;        ;2007ApJS..173..185G
28 ;UGC 3085                           ;G  ;4278        ;0.014373    ;4308.96     ;    1;   46.77    Mpc ;  -6.10       +6.10    ;T-F     ;2020ApJ...902..145K
29 ;UGC 3048                           ;G  ;3050        ;0.010226    ;3065.67     ;    1;   46.99    Mpc ;  -9.73       +9.73    ;T-F     ;2020ApJ...902..145K
30 ;UGC 11225                          ;G  ;3815        ;0.012807    ;3839.59     ;    1;   47.86    Mpc ;  -5.82       +5.82    ;T-F     ;2020ApJ...902..145K
31 ;LEDA 91633                         ;G  ;4011        ;0.013470    ;4038.19     ;    1;   42.66    Mpc ;                       ;        ;2016AJ....152...50T
32 ;NGC 6667                           ;G  ;2571        ;0.008613    ;2582.00     ;    1;   44.26    Mpc ;                       ;        ;2016AJ....152...50T
33 ;UGC 2896                           ;G  ;2226        ;0.007453    ;2234.33     ;    1;   37.84    Mpc ;  -4.26       +4.26    ;T-F     ;2020ApJ...902..145K
34 ;UGC 3316                           ;G  ;2200        ;0.007366    ;2208.13     ;    1;   46.13    Mpc ;  -6.23       +6.23    ;T-F     ;2020ApJ...902..145K
35 ;UGC 11099                          ;G  ;3694        ;0.012399    ;3717.04     ;    1;   47.42    Mpc ;  -5.55       +5.55    ;T-F     ;2020ApJ...902..145K
36 ;UGC 11295                          ;G  ;2366        ;0.007924    ;2375.41     ;    1;   34.67    Mpc ;  -4.68       +4.68    ;T-F     ;2020ApJ...902..145K
37 ;UGC 3354                           ;G  ;3088        ;0.010354    ;3104.07     ;    1;   37.84    Mpc ;  -2.38       +2.38    ;T-F     ;2020ApJ...902..145K
38 ;UGC 3500                           ;G  ;4385        ;0.014735    ;4417.54     ;    1;   44.06    Mpc ;  -4.56       +4.56    ;T-F     ;2020ApJ...902..145K
39 ;UGC 3474                           ;G  ;3634        ;0.012196    ;3656.29     ;    1;   45.92    Mpc ;  -3.31       +3.31    ;T-F     ;2020ApJ...902..145K
40 ;UGC 3416                           ;G  ;4003        ;0.013443    ;4030.09     ;    1;   52.97    Mpc ;  -6.20       +6.20    ;T-F     ;2020ApJ...902..145K
41 ;MCG+10-25-065                      ;G  ;3398        ;0.01140     ;3417.6      ;    1;   49.66    Mpc ;  -7.82       +7.82    ;T-F     ;2020ApJ...902..145K
42 ;UGC 10854                          ;G  ;2817        ;0.009441    ;2830.36     ;    1;   51.05    Mpc ;  -7.58       +7.58    ;T-F     ;2020ApJ...902..145K
43 ;NGC 6390                           ;G  ;3182        ;0.010671    ;3199.07     ;    1;   47.21    Mpc ;  -5.31       +5.31    ;T-F     ;2020ApJ...902..145K
44 ;UGC 4103                           ;G  ;2133        ;0.007140    ;2140.64     ;    1;   41.11    Mpc ;  -6.85       +6.85    ;T-F     ;2020ApJ...902..145K
45 ;IC 2166                            ;G  ;2685        ;0.008997    ;2697.13     ;    1;   38.90    Mpc ;  -4.20       +4.20    ;T-F     ;2020ApJ...902..145K
46 ;Mrk 1110                           ;G  ;3871        ;0.012997    ;3896.32     ;    1;   49.20    Mpc ;  -7.75       +7.75    ;T-F     ;2020ApJ...902..145K
47 ;UGC 4701                           ;G  ;1406        ;0.004701    ;1409.31     ;    1;   37.15    Mpc ;  -6.69       +6.69    ;T-F     ;2020ApJ...902..145K
48 ;UGC 4847                           ;G  ;3762        ;0.012628    ;3785.90     ;    1;   47.42    Mpc ;  -7.90       +7.90    ;T-F     ;2020ApJ...902..145K
