#;identifier;typ;radvel;redshift;cz;#dist;distance Q unit;err-err+;method;reference
1  ;UGC 11861                          ;G  ;1479       ;0.004946    ;1482.67    ;    1;   21.38    Mpc ;  -3.46       +3.46    ;T-F     ;2020ApJ...902..145K
2  ;UGC 12160                          ;G  ;1550       ;0.005184    ;1554.12    ;    1;   25.5859  Mpc ;                       ;redshift;2019A&A...631A..38L
3  ;UGC 12069                          ;G  ;2357       ;0.007892    ;2365.96    ;    1;   24       Mpc ;  -5          +4       ;T-F     ;2008ApJ...676..184T
4  ;LEDA 91755                         ;G  ;1554       ;0.005197    ;1558.05    ;    1;   23.23    Mpc ;  -6.06       +6.06    ;T-F     ;2020ApJ...902..145K
5  ;UGC 2827                           ;G  ;1523       ;0.005093    ;1526.89    ;    1;   22.59    Mpc ;                       ;        ;2008ApJ...676..184T
6  ;LEDA 166861                        ;G  ;1320       ;0.004413    ;1322.92    ;    1;   21.1223  Mpc ;                       ;redshift;2019A&A...631A..38L
7  ;ZOAG G133.90+13.38                 ;G  ;2074       ;0.006942    ;2081.22    ;    1;   25.59    Mpc ;  -1.96       +1.96    ;T-F     ;2020ApJ...902..145K
8  ;UGC 2485                           ;G  ;2007       ;0.006718    ;2014.01    ;    1;   23       Mpc ;  -4          +5       ;T-F     ;2008ApJ...676..184T
9  ;NGC 1530                           ;G  ;2450       ;0.008206    ;2460.10    ;    1;   20.51    Mpc ;                       ;        ;2016AJ....152...50T
10 ;UGC 3137                           ;G  ;993        ;0.003318    ;994.65     ;    1;   20.89    Mpc ;  -2.26       +2.26    ;T-F     ;2020ApJ...902..145K
11 ;NGC 6643                           ;G  ;1483       ;0.004959    ;1486.69    ;    1;   18.71    Mpc ;  -2.10       +2.10    ;T-F     ;2020ApJ...902..145K
12 ;UGC 3371                           ;G  ;815        ;0.002722    ;816.04     ;    1;   21       Mpc ;  -4          +4       ;T-F     ;2008ApJ...676..184T
13 ;UGC 3403                           ;G  ;1264       ;0.004225    ;1266.68    ;    1;   17.54    Mpc ;  -1.66       +1.66    ;T-F     ;2020ApJ...902..145K
14 ;UGC 10736                          ;G  ;492        ;0.001642    ;492.40     ;    1;   16.14    Mpc ;  -3.78       +3.78    ;T-F     ;2020ApJ...902..145K
15 ;IC 1254                            ;G  ;1204       ;0.004024    ;1206.43    ;    1;   32.66    Mpc ;  -3.67       +3.67    ;T-F     ;2020ApJ...902..145K
16 ;UGC 3580                           ;G  ;1199       ;0.004007    ;1201.41    ;    1;   20.42    Mpc ;  -2.66       +2.66    ;T-F     ;2020ApJ...902..145K
17 ;NGC 6248                           ;G  ;1130       ;0.003776    ;1132.14    ;    1;   18.62    Mpc ;  -3.10       +3.10    ;T-F     ;2020ApJ...902..145K
18 ;NGC 6236                           ;G  ;1277       ;0.004269    ;1279.73    ;    1;   24.21    Mpc ;  -4.36       +4.36    ;T-F     ;2020ApJ...902..145K
19 ;UGC 4238                           ;G  ;1544       ;0.005164    ;1548.00    ;    1;   20.14    Mpc ;  -3.08       +3.08    ;T-F     ;2020ApJ...902..145K
20 ;UGC 3909                           ;G  ;945        ;0.003157    ;946.49     ;    1;   23.33    Mpc ;  -2.31       +2.31    ;T-F     ;2020ApJ...902..145K
21 ;UGC 3530                           ;G  ;2099       ;0.007026    ;2106.40    ;    1;   33.57    Mpc ;  -4.53       +4.53    ;T-F     ;2020ApJ...902..145K
22 ;IC 2389                            ;G  ;2383       ;0.007981    ;2392.55    ;    1;   22.80    Mpc ;  -2.36       +2.36    ;T-F     ;2020ApJ...902..145K
23 ;NGC 4331                           ;G  ;1564       ;0.005231    ;1568.10    ;    1;   19.77    Mpc ;  -3.38       +3.38    ;T-F     ;2020ApJ...902..145K
24 ;UGC 4841                           ;G  ;1125       ;0.003759    ;1126.92    ;    1;   22.08    Mpc ;                       ;        ;2016AJ....152...50T
25 ;UGC 7844                           ;G  ;1825       ;0.006106    ;1830.59    ;    1;   30.20    Mpc ;  -7.75       +7.75    ;T-F     ;2020ApJ...902..145K
26 ;UGC 7908                           ;G  ;1667       ;0.005576    ;1671.66    ;    1;   21.09    Mpc ;  -5.12       +5.12    ;T-F     ;2020ApJ...902..145K
27 ;UGC 7189                           ;G  ;1683       ;0.005630    ;1687.75    ;    1;   23.88    Mpc ;  -5.05       +5.05    ;T-F     ;2020ApJ...902..145K
28 ;NGC 3752                           ;G  ;1915       ;0.0064      ;1921       ;    1;   25.94    Mpc ;  -2.33       +2.33    ;T-F     ;2020ApJ...902..145K
29 ;UGC 4241                           ;G  ;1235       ;0.004128    ;1237.55    ;    1;   21.88    Mpc ;  -3.05       +3.05    ;T-F     ;2020ApJ...902..145K
30 ;UGC 6378                           ;G  ;1308       ;0.004373    ;1310.87    ;    1;   17.30    Mpc ;  -1.87       +1.87    ;T-F     ;2020ApJ...902..145K
31 ;Mrk 170                            ;G  ;987        ;0.003298    ;988.63     ;    1;   20.4     Mpc ;                       ;        ;2000ApJ...529..786M
32 ;UGC 6390                           ;G  ;1013       ;0.003385    ;1014.72    ;    1;   24.43    Mpc ;  -2.31       +2.31    ;T-F     ;2020ApJ...902..145K
33 ;UGC 6534                           ;G  ;1269       ;0.004242    ;1271.70    ;    1;   16.07    Mpc ;  -2.24       +2.24    ;T-F     ;2020ApJ...902..145K
34 ;UGC 8146                           ;G  ;666        ;0.002224    ;666.74     ;    1;   15.49    Mpc ;  -2.09       +2.09    ;T-F     ;2020ApJ...902..145K
35 ;NGC 3589                           ;G  ;1969       ;0.006590    ;1975.51    ;    1;   31.05    Mpc ;  -5.73       +5.73    ;T-F     ;2020ApJ...902..145K
36 ;NGC 3206                           ;G  ;1156       ;0.003863    ;1158.24    ;    1;   21.78    Mpc ;  -3.43       +3.43    ;T-F     ;2020ApJ...902..145K
37 ;UGC 4148                           ;G  ;731        ;0.002441    ;731.89     ;    1;   24.32    Mpc ;                       ;        ;2016AJ....152...50T
