#,identifier,radvel,redshift,cz,distance Q unit
2,UGC 2014                           ,565.0,0.001886,565.53,9.2
3,UGC 1807                           ,629.0,0.0021,629.66,9.2
4,UGC 2172                           ,544.0,0.001816,544.49,9.3
5,LEDA 168300                        ,75.0,0.00025,75.01,7.24
7,UGC 11411                          ,69.0,0.00023,69.0,6.58
10,UGC 9992                           ,427.0,0.001424,426.9,8.6
13,UGC 7490                           ,468.0,0.001562,468.37,8.4
15,NGC 2337                           ,438.0,0.00146,438.0,7.9
16,UGC 3817                           ,438.0,0.001461,438.0,8.6
17,MCG+09-13-052                      ,445.0,0.001485,445.33,9.25
18,MCG+09-13-056                      ,433.0,0.001445,433.31,6.9
19,UGC 7242                           ,76.0,0.000254,76.15,5.42
20,UGC 9405                           ,222.0,0.000741,222.08,8.0
22,LEDA 50911                         ,3280.0,0.011,3298.0,7.4
23,NGC 5477                           ,312.0,0.001041,312.16,7.7
24,UGC 8837                           ,140.0,0.000467,140.03,8.3
25,MCG+09-16-010                      ,455.0,0.00152,455.7,7.35
26,MCG+09-19-043                      ,683.0,0.00228,683.5,9.9
27,UGC 6251                           ,926.0,0.003095,927.86,9.9
28,UGC 5571                           ,662.0,0.002211,662.73,8.24
29,MCG+08-25-018                      ,590.0,0.001971,590.89,9.3
30,NGC 4707                           ,468.0,0.001561,467.98,7.4
32,MCG+09-20-182                      ,714.0,0.002385,715.01,5.35
34,[TTV2001] 24                       ,491.0,0.00164,491.7,7.79
35,UGC 5348                           ,517.0,0.001726,517.44,7.08
36,UGC 8331                           ,261.0,0.000871,261.11,8.2
37,UGC 6773                           ,925.0,0.00309,926.43,9.86
38,MCG+08-25-028                      ,489.0,0.00163,489.0,8.4
39,LEDA 166129                        ,784.0,0.00262,785.5,7.66
41,UGC 2684                           ,350.0,0.001168,350.2,6.5
43,ESO 486-21                         ,831.1,0.002776,832.26,8.9
44,NGC 1800                           ,814.2,0.00272,815.31,8.2
45,ESO 362-9                          ,927.1,0.003097,928.54,9.8
46,Anon 0554+07                       ,428.0,0.001429,428.31,5.5
47,2MASX J05512589-1014438            ,862.0,0.00288,863.0,7.91
48,ESO 364-29                         ,786.8,0.002628,787.84,7.4
49,ESO 556-2                          ,862.0,0.002879,863.24,8.7
51,UGC 3476                           ,469.0,0.001566,469.37,7.01
52,HIZOA J0630+08                     ,357.0,0.001192,357.21,5.13
53,ESO 489-56                         ,491.5,0.001641,491.9,6.31
54,IC 2171                            ,788.8,0.002635,789.84,9.04
55,ESO 490-17                         ,499.2,0.001667,499.62,6.34
56,ESO 308-22                         ,817.2,0.00273,818.32,9.38
57,NGC 2283                           ,840.6,0.002808,841.78,10.0
58,UGC 3755                           ,322.0,0.001074,321.98,7.69
59,UGC 3860                           ,348.0,0.001163,348.66,7.81
60,UGC 3966                           ,360.0,0.001201,360.05,6.8
61,UGC 3974                           ,271.0,0.000904,271.12,8.04
62,Z 87-33                            ,278.0,0.000928,278.13,7.98
63,[KK98a] 073940.2+164047            ,554.0,0.00185,554.51,7.98
64,UGC 4115                           ,341.0,0.001138,341.19,7.72
65,LEDA 86398                         ,647.0,0.00216,647.7,8.27
66,LEDA 81181                         ,837.1,0.002796,838.27,7.4
67,LEDA 166095                        ,463.0,0.001546,463.36,9.16
68,MCG-03-23-009                      ,5583.0,0.0188,5635.97,6.67
69,ESO 496-10                         ,813.5,0.002717,814.61,8.59
70,LEDA 166061                        ,644.0,0.002151,644.85,8.2
71,ESO 348-9                          ,647.2,0.002161,647.9,8.6
72,IC 1558                            ,1552.0,0.00519,1556.04,9.0
73,MCG-04-02-003                      ,669.9,0.002237,670.65,9.8
74,ESO 473-24                         ,529.5,0.001768,529.97,8.0
76,M 74                               ,657.0,0.002194,657.72,7.3
77,LEDA 6354                          ,789.0,0.002635,790.04,7.87
78,UGC 1104                           ,699.0,0.002334,699.82,7.5
80,UGC 12713                          ,295.0,0.000984,295.15,7.7
