#,identifier,radvel,redshift,cz,distance Q unit
2  ,UGC 11545                          ,2934.0,0.0098,2948.0,17.4
7  ,UGC 3273                           ,615.0,0.002055,616.07,15.0
8  ,UGC 3144                           ,1632.0,0.005457,1635.97,19.05
9  ,NGC 6643                           ,1483.0,0.004959,1486.69,18.71
10 ,UGC 3257                           ,2193.0,0.007342,2201.08,18.45
11 ,UGC 3453                           ,1045.0,0.003492,1046.83,19.41
12 ,UGC 3403                           ,1264.0,0.004225,1266.68,17.54
13 ,UGC 10736                          ,492.0,0.001642,492.4,16.14
14 ,NGC 6248                           ,1130.0,0.003776,1132.14,18.62
16 ,UGC 9355                           ,2101.0,0.007,2108.0,19.86
17 ,NGC 4331                           ,1564.0,0.005231,1568.1,19.77
18 ,NGC 4159                           ,1755.0,0.005871,1760.17,16.98
19 ,NGC 6015                           ,833.0,0.002782,834.16,18.45
20 ,2MASX J15123098+6553245            ,7089.0,0.023933,7174.83,18.79
23 ,UGC 5612                           ,1010.0,0.003375,1011.71,18.11
24 ,UGC 6378                           ,1308.0,0.004373,1310.87,17.3
26 ,NGC 5870                           ,890.0,0.00297,891.0,16.0
28 ,UGC 6534                           ,1269.0,0.004242,1271.7,16.07
29 ,NGC 2950                           ,1369.0,0.004576,1371.85,15.28
30 ,UGC 4514                           ,694.0,0.002318,694.81,17.54
32 ,UGC 8146                           ,666.0,0.002224,666.74,15.49
33 ,UGC 5846                           ,1018.0,0.003402,1019.89,19.3
35 ,UGC 4628                           ,777.0,0.002595,778.01,17.7
36 ,NGC 5624                           ,1921.0,0.006428,1927.19,17.22
38 ,NGC 3913                           ,950.0,0.003174,951.51,19.8
39 ,UGC 6894                           ,850.0,0.002839,851.21,17.54
41 ,UGC 7267                           ,473.0,0.001579,473.37,15.78
42 ,UGC 6922                           ,890.0,0.002972,890.98,19.8
44 ,UGC 7176                           ,970.0,0.003241,971.57,16.0
46 ,NGC 3906                           ,943.0,0.003152,944.95,19.8
47 ,NGC 5608                           ,663.0,0.002214,663.73,16.83
49 ,UGC 6628                           ,849.0,0.002835,849.91,19.8
53 ,UGCA 75                            ,1887.8,0.006317,1893.78,16.75
54 ,NAME UCD-FORS 50                   ,1245.0,0.004162,1247.6,19.0
55 ,[MHJ2008] F-12                     ,1654.0,0.005532,1658.59,19.0
56 ,NAME UCD28                         ,1764.0,0.005901,1769.22,19.0
57 ,ESO 302-10                         ,1167.1,0.003901,1169.38,16.0
58 ,ESO 359-22                         ,1428.7,0.004777,1432.12,18.55
61 ,ESO 421-19                         ,1475.4,0.004934,1479.05,17.8
64 ,ESO 422-33                         ,1269.6,0.004244,1272.3,17.8
67 ,NGC 1879                           ,1241.9,0.004151,1244.48,16.9
68 ,ESO 362-11                         ,1345.0,0.004497,1348.03,17.62
70 ,ESO 305-17                         ,1071.3,0.00358,1073.22,19.86
71 ,ESO 487-35                         ,1721.2,0.005758,1726.17,15.21
72 ,ESO 363-15                         ,1262.0,0.004218,1264.67,15.42
73 ,LEDA 18857                         ,788.2,0.002633,789.24,15.85
74 ,ESO 426-1                          ,1792.4,0.005997,1797.79,19.23
75 ,ESO 490-10                         ,1825.9,0.006109,1831.49,17.54
76 ,ESO 490-45                         ,1704.9,0.005703,1709.78,18.11
77 ,MCG-01-19-001                      ,1615.0,0.005402,1619.37,17.3
78 ,ESO 495-9                          ,1466.0,0.004902,1469.6,17.7
79 ,ESO 430-30                         ,1485.6,0.004968,1489.3,16.98
81 ,ESO 431-18                         ,1539.5,0.005148,1543.47,19.68
83 ,LEDA 24494                         ,2019.4,0.006759,2026.25,18.28
85 ,ESO 291-3                          ,1374.1,0.004594,1377.26,19.1
86 ,ESO 243-50                         ,1471.5,0.004921,1475.13,19.7
88 ,NGC 7                              ,1505.2,0.005033,1509.0,18.03
91 ,ESO 545-2                          ,1618.0,0.005412,1622.39,18.97
92 ,LEDA 938611                        ,1218.8,0.004074,1221.29,17.9
94 ,MCG-01-08-001                      ,1403.2,0.004692,1406.5,19.0
95 ,6dFGS gJ024149.8-075535            ,1373.0,0.00459,1376.16,18.0
96 ,UGCA 432                           ,2915.5,0.009773,2929.82,17.5
98 ,UGCA 24                            ,1362.6,0.004556,1365.71,17.95
99 ,UGCA 44                            ,1091.5,0.003648,1093.49,15.5
100,IC 225                             ,1531.0,0.00512,1534.9,17.7
102,Z 410-2                            ,2932.0,0.009828,2946.48,16.44
103,UGC 313                            ,2101.0,0.007033,2108.41,16.14
104,Z 411-42                           ,2689.0,0.00901,2701.17,19.68
105,Mrk 600                            ,1013.0,0.003385,1014.72,15.0
106,UGC 191                            ,1144.0,0.003823,1146.19,18.37
107,NGC 63                             ,1155.0,0.00386,1157.23,18.62
108,UGC 156                            ,1135.0,0.003793,1137.16,16.29
109,UGC 11866                          ,1703.0,0.005697,1707.86,18.37
110,UGC 11921                          ,1674.0,0.0056,1678.7,19.5
111,UGC 17                             ,876.0,0.002926,877.28,19.41
112,UGC 12344                          ,1626.0,0.005439,1630.43,18.37
113,NGC 7497                           ,1707.0,0.00571,1711.89,16.9
115,UGC 1999                           ,970.0,0.003241,971.57,17.3
117,UGC 12639                          ,4539.0,0.015257,4573.89,17.5
118,UGC 285                            ,2188.0,0.007325,2196.04,17.14
119,MCG+04-50-007                      ,936.0,0.003127,937.47,16.07
120,UGC 11707                          ,905.0,0.003023,906.37,19.68
121,UGC 1958                           ,1015.0,0.003391,1016.72,19.86
122,NGC 1012                           ,985.0,0.003291,986.62,16.3
124,UGC 4787                           ,552.0,0.001843,552.51,15.0
125,UGC 4722                           ,1819.0,0.006085,1824.24,17.14
126,NGC 2731                           ,2582.0,0.00865,2593.22,19.77
128,ESO 372-8                          ,1531.8,0.005123,1535.73,19.68
130,ESO 434-19                         ,1030.0,0.003442,1031.78,16.37
131,NGC 3044                           ,1288.5,0.004307,1291.28,18.03
132,UGC 5245                           ,1410.0,0.004714,1413.33,17.14
133,ESO 434-34                         ,991.9,0.003314,993.55,15.0
134,LEDA 2806869                       ,1352.0,0.00452,1355.06,18.5
135,ESO 499-37                         ,953.0,0.003184,954.52,17.14
136,ESO 435-15                         ,2441.0,0.008176,2451.02,19.59
137,IC 600                             ,1311.1,0.004383,1313.98,18.88
139,ESO 317-46                         ,962.6,0.003216,964.15,15.14
140,UGC 5934                           ,1607.0,0.005375,1611.33,18.62
142,ESO 376-22                         ,968.9,0.003237,970.47,15.92
143,UGC 5989                           ,1127.0,0.003766,1129.13,16.07
144,ESO 265-3                          ,1388.5,0.004642,1391.73,17.95
145,ESO 265-2                          ,1301.0,0.004349,1303.84,17.14
146,Z 39-68                            ,1396.0,0.004667,1399.27,16.37
147,ESO 502-23                         ,1455.3,0.004866,1458.85,19.9
148,ESO 502-16                         ,1513.2,0.00506,1517.04,15.07
149,ESO 438-5                          ,1496.6,0.005005,1500.35,17.22
