#,identifier,radvel,redshift,cz,distance Q unit
1  ,2MFGC 16642                        ,5335.0,0.017957,5383.33,58.08
2  ,2MASX J23335077+4510281            ,4809.0,0.016172,4848.2,58.34
3  ,UGC 12742                          ,5555.0,0.018704,5607.43,59.98
4  ,UGC 826                            ,5997.0,0.020208,6058.2,54.45
5  ,UGC 1656                           ,4336.0,0.01457,4367.98,52.0
6  ,UGC 2550                           ,4050.0,0.013602,4077.73,51.05
7  ,NGC 812                            ,5161.0,0.017366,5206.2,52.48
8  ,UGC 1602                           ,5502.0,0.018524,5553.43,56.75
9  ,UGC 2215                           ,6560.0,0.022127,6633.37,52.0
10 ,IC 1799                            ,4930.0,0.016582,4971.21,55.72
11 ,UGC 1867                           ,5193.0,0.017475,5238.77,57.02
12 ,UGC 2234                           ,5606.0,0.018878,5659.41,59.7
14 ,UGC 2511                           ,3860.0,0.01296,3885.17,55.21
16 ,UGC 11473                          ,4648.0,0.015626,4684.6,56.75
17 ,MCG+08-07-017                      ,4861.0,0.016348,4901.06,56.75
18 ,2MASX J20303621+5518581            ,2832.0,0.009493,2845.93,53.46
19 ,2MASX J04075531+4549400            ,4471.0,0.015027,4504.84,50.12
20 ,UGC 11510                          ,3919.0,0.013159,3944.95,55.46
21 ,2MASX J22340404+6826298            ,4354.0,0.01463,4386.08,56.49
22 ,2MASX J23202069+6830101            ,3465.0,0.011626,3485.26,54.45
23 ,2MASX J02334600+6405011            ,4198.0,0.014102,4227.81,52.48
24 ,UGC 11422                          ,4655.0,0.01565,4691.71,58.08
26 ,2MFGC 16982                        ,2600.0,0.008711,2611.37,54.95
29 ,NGC 6702                           ,4758.0,0.015998,4796.08,52.0
30 ,2MFGC 15839                        ,3839.0,0.0129,3864.0,51.52
31 ,UGC 12905                          ,4098.0,0.013764,4126.4,59.98
32 ,2MASX J05035410+5519138            ,4378.0,0.014712,4410.44,57.02
33 ,UGC 11248                          ,4839.0,0.016274,4878.69,54.45
34 ,NGC 6701                           ,3934.0,0.013209,3959.96,56.2
35 ,2MASX J19164988+7030313            ,5523.0,0.018596,5574.82,59.43
