#,identifier,radvel,redshift,cz,distance Q unit
4  ,UGC 2459                           ,2469.0,0.00827,2479.25,33.88
5  ,UGC 2409                           ,3882.0,0.013034,3907.46,30.9
6  ,MCG+09-06-001                      ,3351.0,0.0112,3370.0,37.15
7  ,UGC 2908                           ,4594.0,0.015443,4629.74,35.97
10 ,UGC 11484                          ,1303.0,0.004356,1305.84,37.5
11 ,UGC 11613                          ,2670.0,0.008946,2682.0,36.48
12 ,NGC 6798                           ,2439.0,0.008169,2449.0,37.343
13 ,2MFGC 14972                        ,3750.0,0.012588,3773.75,35.97
15 ,UGC 11648                          ,3364.0,0.011285,3383.09,38.37
16 ,UGC 11779                          ,2404.0,0.008051,2413.72,37.84
17 ,UGC 1378                           ,2933.0,0.009832,2947.49,39.45
19 ,UGC 11435                          ,3721.0,0.012489,3744.0,36.98
20 ,NGC 6869                           ,2720.0,0.009113,2732.01,32.66
23 ,UGC 12504                          ,2438.0,0.008166,2447.99,39.81
24 ,UGC 11329                          ,2359.0,0.0079,2368.35,39.99
27 ,NGC 6796                           ,2191.0,0.007335,2199.07,35.81
28 ,UGC 12141                          ,2090.0,0.006996,2097.34,37.15
29 ,UGC 2411                           ,2527.0,0.0085,2538.0,32.21
30 ,UGC 2848                           ,4301.0,0.014451,4332.3,35.81
31 ,UGC 3030                           ,3756.0,0.012608,3779.83,37.84
33 ,UGC 12221                          ,2050.0,0.006861,2056.88,31.48
36 ,UGC 2896                           ,2226.0,0.007453,2234.33,37.84
37 ,UGC 3147                           ,2884.0,0.009667,2898.01,35.81
38 ,UGC 11295                          ,2366.0,0.007924,2375.41,34.67
39 ,UGC 3276                           ,2503.0,0.008384,2513.54,38.19
40 ,UGC 3354                           ,3088.0,0.010354,3104.07,37.84
41 ,UGC 10892                          ,1932.0,0.006465,1938.27,39.99
42 ,UGC 10887                          ,1838.0,0.00615,1843.67,30.9
45 ,MCG+11-08-042                      ,4300.0,0.014448,4331.29,39.99
46 ,IC 1254                            ,1204.0,0.004024,1206.43,32.66
47 ,IC 2166                            ,2685.0,0.008997,2697.13,38.9
48 ,UGC 8101                           ,1866.0,0.0062,1872.0,30.9
49 ,UGC 4701                           ,1406.0,0.004701,1409.31,37.15
50 ,UGC 4202                           ,2342.0,0.007843,2351.22,39.08
51 ,UGC 3530                           ,2099.0,0.007026,2106.4,33.57
52 ,UGC 10383                          ,2766.0,0.009269,2778.88,39.08
53 ,NGC 5452                           ,2066.0,0.006915,2073.17,34.2
54 ,UGC 5757                           ,1957.0,0.006549,1963.43,32.36
56 ,NGC 2938                           ,2286.0,0.007655,2294.78,37.33
58 ,UGC 4413                           ,2292.0,0.007675,2300.83,31.48
59 ,UGC 4390                           ,2160.0,0.007232,2168.1,35.0
62 ,UGC 10334                          ,3106.0,0.010415,3122.26,32.81
65 ,UGC 4378                           ,2225.0,0.00745,2233.32,32.21
66 ,UGC 4024                           ,1716.0,0.00574,1720.94,31.62
67 ,NGC 6125                           ,4590.0,0.015431,4626.1,33.4
68 ,UGC 9855                           ,3481.0,0.01168,3501.45,32.06
69 ,UGC 7844                           ,1825.0,0.006106,1830.59,30.2
71 ,LEDA 91229                         ,1643.0,0.005496,1647.53,37.67
72 ,UGC 6552                           ,2805.0,0.009401,2818.25,34.2
73 ,UGC 3845                           ,3030.0,0.010159,3045.47,35.32
74 ,NGC 5894                           ,2476.0,0.008293,2486.31,37.33
75 ,UGC 8737                           ,1785.0,0.005972,1790.35,34.51
76 ,NGC 4120                           ,2246.0,0.00752,2254.48,32.81
78 ,UGC 4267                           ,2592.0,0.008684,2603.3,34.99
79 ,MCG+08-14-034                      ,2952.0,0.009896,2966.68,31.92
80 ,UGC 9638                           ,2273.0,0.00761,2281.4,33.0
83 ,UGC 9741                           ,2472.0,0.00828,2482.3,39.6
84 ,UGC 8988                           ,2077.0,0.006952,2084.24,32.06
85 ,UGC 8571                           ,3096.0,0.010381,3112.15,38.9
86 ,NGC 4238                           ,2765.0,0.009266,2777.87,38.9
87 ,UGC 6080                           ,2180.0,0.007298,2187.98,34.04
88 ,NGC 2710                           ,2523.0,0.008452,2533.71,38.55
89 ,NGC 2701                           ,2328.0,0.007796,2337.11,32.96
91 ,NGC 5783                           ,2337.0,0.007826,2346.18,38.02
92 ,NGC 3589                           ,1969.0,0.00659,1975.51,31.05
96 ,NGC 3398                           ,2890.0,0.0097,2904.0,39.99
97 ,NGC 5950                           ,2599.0,0.008707,2610.36,36.14
98 ,NGC 5481                           ,2065.0,0.006911,2071.87,30.82
99 ,NGC 5480                           ,1907.0,0.00638,1912.7,30.5
100,UGC 4922                           ,1992.0,0.006667,1998.66,39.99
101,NGC 2712                           ,1793.0,0.006,1799.0,31.19
102,UGC 6162                           ,2207.0,0.007389,2215.18,34.83
103,UGC 6074                           ,2883.0,0.00966,2897.0,38.0
104,NGC 5708                           ,2723.0,0.009125,2735.48,30.9
105,UGC 8642                           ,2420.0,0.008105,2429.85,32.36
106,UGC 7392                           ,803.0,0.002682,804.08,34.51
107,NGC 5630                           ,2653.0,0.008889,2664.84,31.05
108,UGC 8756                           ,1341.0,0.0045,1344.0,30.4789
109,LEDA 90649                         ,2985.0,0.010007,3000.01,34.2
110,MCG-01-09-021                      ,2225.8,0.007452,2234.12,31.0
112,ESO 482-5                          ,1919.5,0.006423,1925.68,31.92
113,ESO 548-82                         ,1730.9,0.00579,1735.93,35.16
114,UGC 2854                           ,5663.0,0.019072,5717.51,38.37
115,UGC 2966                           ,3571.0,0.011983,3592.52,37.15
116,MCG-03-11-018                      ,1877.0,0.006281,1882.91,38.37
117,UGC 3016                           ,5897.0,0.019868,5956.16,30.05
118,UGC 3053                           ,2397.0,0.00803,2407.0,34.8
119,Z 393-25                           ,3751.0,0.012591,3774.76,33.57
121,ESO 486-3                          ,1765.0,0.005905,1770.23,31.62
122,MCG-01-14-005                      ,3967.0,0.013321,3993.6,34.67
123,UGCA 104                           ,1982.3,0.006634,1988.9,30.9
124,ESO 553-17                         ,1949.4,0.006524,1955.78,33.42
125,ESO 423-24                         ,3942.0,0.013236,3968.05,38.73
126,2MFGC 4746                         ,4044.0,0.013582,4071.65,30.76
127,IC 2151                            ,3148.0,0.010556,3164.7,30.62
129,UGC 3390                           ,1517.0,0.005073,1520.86,31.33
130,2MFGC 4923                         ,2711.0,0.009084,2723.37,34.67
131,2MFGC 4918                         ,2051.0,0.0069,2058.0,37.15
134,2MASX J06180701+0136478            ,2883.0,0.009663,2897.0,38.02
135,MCG-03-17-001                      ,2837.8,0.009511,2851.36,31.48
137,MCG-03-17-005                      ,2747.0,0.00921,2760.0,35.32
138,ESO 490-7                          ,2844.8,0.009535,2858.43,34.67
139,ESO 557-9                          ,2669.8,0.008946,2681.79,37.15
140,NGC 2271                           ,2577.0,0.008633,2588.11,32.06
141,ESO 490-29                         ,2147.0,0.007187,2154.74,31.05
142,ESO 366-9                          ,1990.5,0.006662,1997.15,34.99
143,ESO 490-42                         ,1758.0,0.005881,1763.18,37.33
144,ESO 427-8                          ,2795.0,0.009366,2807.86,38.19
145,UGC 3637                           ,3548.0,0.011906,3569.25,35.32
146,UGC 3777                           ,3211.0,0.010769,3228.38,36.31
149,UGC 3820                           ,2530.0,0.008475,2540.77,37.33
150,UGC 3960                           ,2246.0,0.00752,2254.4,33.5063
151,UGC 3964                           ,1458.4,0.004877,1461.96,32.66
152,ESO 560-4                          ,2177.0,0.007288,2184.96,38.19
153,ESO 429-12                         ,2718.5,0.009109,2730.94,37.15
154,UGC 4046                           ,4401.0,0.01479,4433.9,38.9
155,UGC 4010                           ,2767.0,0.009273,2779.89,35.65
156,ESO 494-21                         ,1572.3,0.005258,1576.44,37.15
158,UGC 4306                           ,2400.0,0.008038,2409.68,30.06
159,IC 2361                            ,2183.0,0.007308,2191.01,34.2
160,UGC 4395                           ,2191.0,0.007335,2199.07,38.55
161,Z 119-44                           ,3494.0,0.011723,3514.6,32.36
162,IC 2329                            ,2080.0,0.006962,2087.27,36.14
164,IC 2367                            ,2432.5,0.008147,2442.45,35.65
165,NGC 2594                           ,2381.0,0.007974,2390.53,35.1
166,UGC 4444                           ,2083.0,0.006972,2090.29,35.48
167,MCG-01-22-014                      ,1520.7,0.005085,1524.58,32.51
168,ESO 562-19                         ,1774.0,0.005935,1779.28,31.48
170,ESO 431-13                         ,2825.0,0.009467,2838.14,38.02
171,LEDA 87424                         ,2338.0,0.007829,2347.19,35.91
172,UGC 4559                           ,2083.0,0.006972,2090.29,36.81
173,UGC 4540                           ,2047.0,0.006852,2054.04,32.93
174,LEDA 1331483                       ,2006.0,0.006714,2012.76,31.77
177,LEDA 86862                         ,2362.0,0.00791,2371.4,36.62
178,LEDA 1745706                       ,2449.0,0.008203,2459.09,39.26
179,UGC 4712                           ,2015.0,0.006744,2021.82,38.9
181,LEDA 92244                         ,3231.0,0.010836,3248.6,31.05
182,ESO 563-26                         ,3404.0,0.01142,3423.55,39.81
184,ESO 432-13                         ,2112.8,0.007073,2120.3,35.97
185,ESO 371-24                         ,2269.5,0.007599,2278.16,34.36
