#,identifier,radvel,redshift,cz,distance Q unit
3  ,UGC 608                            ,2755.0,0.009232,2767.78,45.29
4  ,UGC 622                            ,2717.0,0.009104,2729.42,42.07
5  ,LEDA 90627                         ,3935.0,0.013213,3961.17,47.21
6  ,2MASX J02050790+4622331            ,5749.0,0.019364,5805.2,47.86
7  ,MCG+07-08-035                      ,4165.0,0.013991,4194.34,41.11
8  ,MCG+09-34-001                      ,2843.0,0.0095,2857.0,45.08
10 ,NGC 6916                           ,3099.0,0.010391,3115.18,40.55
11 ,2MASX J22533261+6840577            ,3446.0,0.0116,3466.0,47.64
12 ,UGC 11457                          ,2457.0,0.00823,2467.15,43.25
13 ,NGC 6801                           ,4364.0,0.014664,4396.23,44.06
14 ,UGC 11453                          ,3850.0,0.012926,3875.04,42.66
15 ,UGC 12135                          ,4063.0,0.013646,4090.91,48.75
16 ,MCG+12-02-001                      ,4706.0,0.015823,4743.52,42.07
18 ,UGC 11357                          ,2181.0,0.007302,2188.99,47.64
19 ,NGC 6911                           ,2485.0,0.008324,2495.39,40.36
20 ,LEDA 166755                        ,2453.0,0.008216,2463.12,44.26
22 ,UGC 12921                          ,2449.0,0.008203,2459.09,45.5
23 ,NGC 6750                           ,3696.0,0.012405,3719.07,41.5
25 ,UGC 2865                           ,4314.0,0.0145,4345.0,45.29
26 ,2MASX J03363404+7205448            ,4302.0,0.014454,4333.31,45.5
27 ,IC 334                             ,2525.0,0.008459,2535.94,40.0
28 ,UGC 3085                           ,4278.0,0.014373,4308.96,46.77
29 ,UGC 3048                           ,3050.0,0.010226,3065.67,46.99
30 ,UGC 11225                          ,3815.0,0.012807,3839.59,47.86
31 ,LEDA 91633                         ,4011.0,0.01347,4038.19,42.66
32 ,NGC 6667                           ,2571.0,0.008613,2582.0,44.26
34 ,UGC 3316                           ,2200.0,0.007366,2208.13,46.13
35 ,UGC 11099                          ,3694.0,0.012399,3717.04,47.42
38 ,UGC 3500                           ,4385.0,0.014735,4417.54,44.06
39 ,UGC 3474                           ,3634.0,0.012196,3656.29,45.92
41 ,MCG+10-25-065                      ,3398.0,0.0114,3417.6,49.66
43 ,NGC 6390                           ,3182.0,0.010671,3199.07,47.21
44 ,UGC 4103                           ,2133.0,0.00714,2140.64,41.11
46 ,Mrk 1110                           ,3871.0,0.012997,3896.32,49.2
48 ,UGC 4847                           ,3762.0,0.012628,3785.9,47.42
49 ,UGC 3864                           ,2616.0,0.008764,2627.51,43.05
50 ,UGC 3657                           ,3257.0,0.010924,3274.89,42.27
51 ,UGC 3921                           ,2486.0,0.008327,2496.39,49.2
53 ,UGC 8964                           ,6875.0,0.023202,6955.67,46.99
55 ,UGC 4623                           ,3090.0,0.01036,3105.8,42.85
56 ,UGC 4502                           ,3286.0,0.011022,3304.21,43.65
58 ,2MASX J06593428+5931063            ,3296.0,0.011055,3314.32,43.45
59 ,IC 1210                            ,2881.0,0.009657,2894.98,44.06
61 ,UGC 5686                           ,2797.0,0.009373,2809.95,43.1595
62 ,UGC 5570                           ,2724.0,0.009128,2736.49,43.97
63 ,UGC 5689                           ,2827.0,0.009475,2840.46,48.31
64 ,NGC 2810                           ,3508.0,0.011771,3528.86,49.7
65 ,NGC 2469                           ,3482.0,0.011683,3502.46,41.69
70 ,UGC 5765                           ,1826.0,0.00611,1831.6,43.25
71 ,UGC 5244                           ,3025.0,0.010142,3040.42,49.2
72 ,UGC 4727                           ,3241.0,0.01087,3258.71,49.43
73 ,UGC 3949                           ,6380.0,0.021513,6449.36,45.92
74 ,LEDA 90973                         ,1709.0,0.005717,1713.9,42.46
75 ,UGC 4415                           ,3591.0,0.01205,3612.5,44.26
76 ,UGC 9080                           ,3048.0,0.01022,3063.9,46.13
79 ,UGC 7179                           ,2625.0,0.0088,2637.0,41.3
80 ,UGC 7153                           ,2608.0,0.008738,2619.44,41.69
81 ,NGC 2870                           ,3189.0,0.010695,3206.28,45.29
83 ,UGC 4800                           ,2433.0,0.008149,2442.95,46.56
85 ,UGC 8282                           ,2064.0,0.006909,2071.15,40.18
86 ,UGC 9448                           ,2193.0,0.007342,2201.08,43.05
89 ,NGC 3488                           ,2995.0,0.010041,3010.11,42.66
90 ,UGC 4844                           ,3958.0,0.01329,3984.2,45.92
92 ,UGC 6774                           ,2419.0,0.008102,2428.84,48.53
93 ,Mrk 153                            ,2450.0,0.008206,2460.1,40.5
95 ,UGC 4982                           ,2659.0,0.008909,2670.9,43.65
96 ,MCG+08-17-102                      ,2630.0,0.00881,2641.2,40.6
97 ,UGC 7358                           ,3656.0,0.01227,3678.57,47.42
98 ,UGC 6535                           ,3137.0,0.010519,3153.59,48.98
99 ,UGC 5283                           ,4529.0,0.015223,4563.74,45.08
101,Mrk 1484                           ,2464.0,0.008252,2473.89,41.8
102,LEDA 2816653                       ,23114.0,0.0803,24078.0,42.5
103,UGC 4970                           ,2409.0,0.008068,2418.76,45.5
107,NGC 1234                           ,3728.0,0.012514,3751.47,45.92
108,ESO 547-11                         ,2220.3,0.007434,2228.58,43.05
109,ESO 547-4                          ,3322.0,0.011143,3340.61,49.66
110,ESO 546-37                         ,4350.0,0.014617,4382.02,46.34
111,MCG+02-09-002                      ,4759.0,0.016002,4797.38,45.5
112,NGC 1285                           ,5198.0,0.01749,5243.4,45.71
113,ESO 548-12                         ,4351.0,0.01462,4383.04,40.36
114,UGC 2786                           ,5808.0,0.019565,5865.37,47.21
115,UGCA 80                            ,3091.0,0.010364,3107.1,42.0
117,ESO 548-40                         ,4051.5,0.013607,4079.25,46.13
