#,identifier,radvel,redshift,cz,distance Q unit
1,2MFGC 16293                        ,4078.0,0.013697,4106.12,27.7
2,UGC 11923                          ,3090.0,0.010361,3106.09,28.44
3,IC 65                              ,2619.0,0.008775,2630.54,29.65
5,NGC 6703                           ,2345.0,0.007852,2353.97,26.4241
7,UGC 12160                          ,1550.0,0.005184,1554.12,25.5859
8,2MASX J19583495+6935122            ,2428.0,0.008132,2437.91,28.18
9,ZOAG G133.90+13.38                 ,2074.0,0.006942,2081.22,25.59
10,UGC 392                            ,1403.0,0.004691,1406.3,26.3
11,UGC 2519                           ,2344.0,0.00785,2353.24,28.97
12,UGC 3042                           ,3061.0,0.010263,3076.79,29.11
13,IC 381                             ,2470.0,0.008272,2479.88,25.0
14,UGC 3314                           ,2184.0,0.007312,2192.01,25.23
15,UGC 4078                           ,1862.0,0.00623,1867.82,29.92
16,UGC 3540                           ,1943.0,0.006502,1949.34,29.38
17,UGC 10054                          ,1497.0,0.005006,1500.76,27.8
18,UGC 10125                          ,1634.0,0.005465,1638.48,29.79
22,UGC 3749                           ,1154.0,0.003857,1156.23,25.35
23,UGC 10369                          ,1001.0,0.003345,1002.68,27.42
24,UGC 5203                           ,1540.0,0.00515,1543.98,25.94
26,UGC 10194                          ,871.0,0.00291,872.27,28.71
27,NGC 3901                           ,1709.0,0.005717,1713.9,27.54
29,UGC 7238                           ,1695.0,0.00567,1699.82,29.24
30,NGC 3752                           ,1915.0,0.0064,1921.0,25.94
31,UGC 4121                           ,1093.0,0.003653,1095.0,25.7
32,UGC 3853                           ,932.0,0.003114,933.45,27.93
34,UGC 6711                           ,2702.0,0.009054,2714.29,29.51
35,NGC 3879                           ,1430.0,0.004781,1433.43,25.82
36,UGC 10095                          ,1857.0,0.006214,1862.79,28.44
37,UGC 7019                           ,1517.0,0.005073,1520.86,26.92
39,NGC 5687                           ,2159.0,0.007228,2166.9,28.84
40,UGC 9245                           ,1894.0,0.006338,1900.02,28.18
43,UGC 4551                           ,1733.0,0.005797,1737.9,28.0584
47,Mrk 157                            ,1387.0,0.004637,1390.14,25.9
49,Mrk 140                            ,1661.0,0.005556,1665.63,29.8
51,NGC 1211                           ,3219.6,0.010798,3237.08,28.71
52,UGC 2482                           ,2651.5,0.008884,2663.33,28.05
53,ESO 547-5                          ,1592.0,0.005325,1596.25,29.65
54,ESO 480-25                         ,1730.5,0.005789,1735.52,27.16
55,MCG-03-09-027                      ,2008.6,0.006723,2015.37,27.67
56,6dFGS gJ034718.3-144150            ,1686.0,0.00564,1690.77,27.04
58,ESO 422-5                          ,1465.1,0.004899,1468.7,26.06
60,MCG-03-14-001                      ,2039.3,0.006826,2046.28,29.1
63,NGC 2131                           ,1668.5,0.005581,1673.17,26.06
64,ESO 488-49                         ,1764.6,0.005903,1769.82,25.7
66,MCG-03-16-018                      ,2064.0,0.006909,2071.15,29.38
67,ESO 425-2                          ,1384.9,0.00463,1388.11,29.92
68,UGC 3433                           ,2336.2,0.007823,2345.37,25.35
70,UGC 3468                           ,2470.0,0.008273,2480.26,27.04
73,ESO 309-5                          ,1905.2,0.006375,1911.29,29.24
74,ESO 427-34                         ,2382.8,0.00798,2392.35,28.71
75,ESO 366-30                         ,2754.0,0.009229,2766.77,29.51
77,2MASX J07093459-0525404            ,1722.3,0.005762,1727.28,29.79
78,ESO 428-18                         ,2077.0,0.006952,2084.24,25.47
79,ESO 428-25                         ,2315.0,0.007752,2324.01,25.12
80,MCG-02-21-001                      ,2269.0,0.007597,2277.65,28.05
81,ESO 561-30                         ,1625.4,0.005437,1629.83,28.84
83,NGC 2592                           ,1980.0,0.006628,1987.02,25.4683
87,UGC 4524                           ,1946.0,0.006513,1952.55,27.54
88,ESO 563-12                         ,1906.5,0.00638,1912.6,28.71
89,NGC 2717                           ,2567.0,0.0086,2578.0,29.65
90,ESO 342-50                         ,2668.4,0.008941,2680.38,28.05
91,ESO 345-2                          ,2299.2,0.007699,2308.08,25.94
92,ESO 292-14                         ,1492.6,0.004991,1496.33,27.29
93,ESO 407-9                          ,1556.1,0.005204,1560.16,27.54
94,NGC 7545                           ,2872.0,0.009626,2885.89,25.59
95,ESO 347-29                         ,1572.9,0.00526,1577.05,26.79
96,6dFGS gJ011554.3-294442            ,9642.0,0.032697,9802.17,28.71
98,ESO 536-11                         ,3492.0,0.011717,3512.58,28.18
99,ESO 536-3                          ,1690.0,0.005653,1694.79,28.05
103,MCG-02-58-003                      ,2593.2,0.008688,2604.51,26.79
105,MCG-01-60-016                      ,2050.9,0.006865,2057.96,27.8
106,LEDA 90449                         ,3739.0,0.012551,3762.61,29.38
107,MCG-01-06-083                      ,2166.0,0.007251,2173.88,27.04
110,UGC 1839                           ,1543.9,0.005163,1547.9,25.23
111,NGC 1090                           ,2769.1,0.00928,2782.01,29.51
112,UGC 12857                          ,2473.6,0.008285,2483.89,28.05
113,UGC 2216                           ,2798.1,0.009377,2811.28,25.47
114,NGC 7750                           ,2901.0,0.009724,2915.17,27.67
115,UGC 12010                          ,2809.0,0.009414,2822.28,29.24
117,UGC 12497                          ,3764.0,0.012635,3787.93,28.71
