#,identifier,radvel,redshift,cz,distance Q unit
1,LEDA 2807102                       ,39.0,0.00013,39.0,4.27
3,LEDA 2807107                       ,70.0,0.000234,70.01,3.48
4,LEDA 166068                        ,190.0,0.000634,190.06,3.48
5,LEDA 101304                        ,94.0,0.000314,94.01,3.48
6,NAME Cas 1                         ,35.0,0.000117,35.0,1.82
7,UGCA 86                            ,67.0,0.000224,67.01,2.96
8,NGC 1343                           ,2211.0,0.007402,2219.21,4.2
9,NAME Cam B                         ,77.0,0.000257,77.01,3.5
10,LEDA 95594                         ,110.0,0.000367,110.02,4.61
11,NGC 2363                           ,70.0,0.000233,69.85,4.3
12,UGC 8245                           ,70.0,0.00023,70.0,3.6
13,UGCA 133                           ,213.0,0.000711,213.08,3.1
14,NAME M 81 Dwarf A                  ,114.0,0.00038,113.92,3.44
15,UGC 5336                           ,64.0,0.000213,63.86,3.61
16,NAME Arp Loop                      ,100.0,0.000334,100.02,3.78
17,HIJASS J1021+68                    ,46.0,0.000153,46.0,3.7
18,UGC 8201                           ,35.0,0.000117,35.08,4.57
19,LEDA 30664                         ,2657.0,0.008903,2669.05,3.66
20,IC 2574                            ,48.0,0.00016,48.0,3.81
21,LEDA 28826                         ,77.0,0.000257,77.01,3.82
23,UGC 5497                           ,185.0,0.000617,185.06,3.73
24,UGC 6757                           ,82.0,0.000274,82.01,4.61
25,UGC 8508                           ,56.0,0.000187,56.01,2.58
26,UGC 9240                           ,150.0,0.0005,150.04,2.79
27,MCG+09-20-131                      ,153.0,0.00051,152.9,3.2
28,NGC 4068                           ,208.0,0.000694,208.07,4.31
29,UGC 8215                           ,218.0,0.000727,217.95,4.55
31,UGC 8320                           ,195.0,0.00065,194.87,4.33
32,UGC 8308                           ,165.0,0.000551,165.05,4.19
33,NGC 3741                           ,235.0,0.00078,235.0,3.24
36,LEDA 2807061                       ,322.6,0.001077,322.77,1.67
37,2MASS J07252197-2428299            ,816.8,0.002728,817.92,4.11
39,ESO 294-10                         ,117.0,0.00039,117.02,1.94
41,NAME Sculptor dIG                  ,218.0,0.000727,217.95,3.21
43,ESO 468-20                         ,92.0,0.000307,92.01,2.24
44,ESO 407-18                         ,62.0,0.000207,62.01,2.18
45,ESO 471-6                          ,267.0,0.000891,267.12,4.27
46,IC 1574                            ,360.7,0.001204,360.92,4.92
47,ESO 540-31                         ,294.7,0.000983,294.84,3.31
48,ESO 540-30                         ,224.0,0.000747,224.08,3.33
49,UGC 685                            ,156.0,0.00052,156.04,4.7
52,IC 559                             ,541.0,0.001806,541.49,4.9
53,NAME Leo A                         ,22.3,7.4e-05,22.3,0.69
54,UGC 5456                           ,536.0,0.00179,536.48,3.8
55,NGC 3109                           ,403.0,0.001345,403.27,1.28
56,NAME Antlia Dwarf Galaxy           ,362.0,0.001208,362.22,1.29
60,LEDA 166115                        ,212.0,0.000707,212.08,4.51
61,UGC 6817                           ,251.0,0.000838,251.11,2.59
62,ESO 440-11                         ,1939.8,0.006492,1946.12,4.9
63,ESO 379-24                         ,632.4,0.002112,633.07,4.88
64,UGCA 276                           ,284.0,0.000948,284.13,2.95
